ane,ANE,http://www.discotekmedia.com/
caleb,Caleb Bradley,
cambus,Frederic Cambus,http://www.cambus.net/
cambusbym,Frederic Cambus and bym,http://www.fredrik-olsson.com/
carl,Carl,http://retrotext.blogspot.co.uk
dan,Dan Farrimond,http://portfolio.illarterate.co.uk/
jesslevs,JessLevs,http://www.twitter.com/jesslevs
olya,olya,http://www.levistova.com/
peter,Peter Kwan,http://teastop.co.uk/vbit-pi/
pup,Pup,http://panic.cs-bristol.org.uk/~jules/
rabattk,RabattK,http://www.twitter.com/RabattK
raquel,Raquel Meyers,http://www.raquelmeyers.com/category/teletexto
rawles,Simon Rawles,http://rawl.es/
shibbyayah,Shibby Ayah,http://www.something.com/
smee,Smee,
spazrammer,spazrammer,http://www.micro-rave.org/spazrammer.html
thurman,Thomas Thurman,http://thomasthurman.org/
tim,Tim Matthews,
weirdribs,Weird Ribs,http://www.weirdribs.bandcamp.com
